Roll_No,SM-II,MEFA,SUR_I,BPD,OCF_HM,DM,ED,SUR LAB_I,FM_HM_LAB,SGPA
A0101,B,A,B+,A+,C,O,,O,A+,7.81
A0102,B,A,B,A+,F,B+,,O,A+,6.4
A0103,A+,A+,O,A+,A,,A,O,O,9.12
A0104,O,O,A+,O,O,O,,O,O,9.88
A0105,P,B,C,A,P,A+,,A+,A,6.54
A0106,A+,B+,O,O,O,O,,O,O,9.38
A0107,O,A,A+,O,A,O,,O,O,9.35
A0108,O,A,O,O,A+,,A+,O,O,9.46
A0109,A+,C,B,A+,A,A+,,O,A+,8
A0110,O,A+,O,O,O,,O,O,O,9.85
A0111,A,A,A,A+,A,O,,O,O,8.81
A0112,F,B,B,A+,F,,A,O,O,6.54
A0113,O,A+,O,O,A+,,O,O,O,9.73
A0114,A,A,B+,A,C,,A,O,A+,7.77
A0115,A,A,A,O,B+,,A+,O,O,8.69
A0116,F,F,F,A+,F,B,,A+,A,3.29
A0117,F,P,P,A,F,B,,A,B+,4.16
A0118,A,A,B+,O,B+,,A,O,O,8.46
A0119,O,B+,O,O,A+,A+,,O,A+,9.15
A0120,O,A,A+,O,A+,A+,,O,O,9.27
A0121,O,A+,O,O,O,O,,O,A+,9.77
A0123,F,B,C,A+,F,A,,A+,A,5.82
A0124,B+,B+,A,A+,A,A+,,O,O,8.38
A0125,F,B,C,A+,F,A+,,O,B,5.21
A0126,B+,A,P,A+,C,A+,,A+,A,7.42
A0127,F,F,P,A,F,A,,O,A,4
A0128,A+,A,A,O,A+,,A+,O,O,9.08
A0129,B,A,B+,O,A,,A+,O,O,8.38
A0130,F,F,F,B+,F,B+,,O,A,3.25
A0131,P,C,C,A,F,A,,A+,A,5.64
A0132,O,A+,O,O,O,O,,O,O,9.85
A0133,F,C,A,B+,F,A,,O,B+,5.13
A0134,A,B+,A,O,B+,,A,O,O,8.42
A0135,F,P,C,A,F,A,,A+,A+,4.79
A0136,O,A,O,A+,A+,O,,O,O,9.46
A0137,B,B,C,A+,C,A+,,O,A+,7.31
A0138,O,A+,O,O,O,O,,O,O,9.85
A0139,F,P,B,A,F,B+,,O,A,4.79
A0140,A,B+,B+,A+,B,A+,,O,A+,8.04
A0141,F,P,F,B+,F,B+,,A,F,3.08
A0142,O,A+,O,A+,O,A+,,O,O,9.62
A0143,O,A,A,O,B,A+,,O,O,8.88
A0144,A+,A+,A+,O,A+,O,,O,O,9.46
A0145,B+,B+,B+,O,B+,,A,O,O,8.15
A0146,F,A,P,B+,F,A+,,O,A,5.33
A0147,F,F,F,A,F,F,,A,C,2.92
A0148,A,A,A,A,B+,A+,,O,O,8.38
A0149,A+,A,A+,A+,B+,O,,O,O,8.96
A0150,A+,O,O,O,O,O,,O,O,9.85
A0151,B,A,F,B+,B,A,,O,A+,6.15
A0152,A,A,A,O,A+,A+,,O,A+,8.85
A0153,P,B+,A,A+,C,A,,O,B+,7.15
A0154,A+,A,A,O,C,O,,O,O,8.73
A0155,A+,C,A,O,F,A+,,O,A+,7.66
A0157,A+,B+,A+,O,A+,O,,O,O,9.15
A0158,F,C,F,B,F,A+,,O,A+,4.29
A0159,F,F,F,F,F,F,,F,F,0
A0160,A,A,A,O,A,O,,O,O,8.92
A0163,C,B+,P,B,F,B+,,A,A,5.46
A0164,B,A,B+,A+,B,A+,,O,A+,7.96
A0165,F,C,P,C,F,B,,A,A,4.04
A0166,A,A,A,O,B,A+,,O,O,8.5
A0167,B+,A+,B,A+,B+,A+,,A+,O,8.27
A0168,B+,A+,A,O,A,A+,,O,O,8.81
A0169,B,A,B,A,C,,A+,O,O,7.62
A0170,O,A,O,O,O,A+,,O,O,9.58
A0171,C,B,C,A,B,,A+,A+,B+,6.73
A0172,A,B+,B,A,P,,B,A+,B+,6.92
A0173,C,B,B+,A,P,A,,A+,B+,6.42
A0174,O,A+,B+,O,A+,A+,,A+,O,9.19
A0175,A+,B,C,A+,A,O,,O,O,8.31
A0176,C,B,P,B+,F,A,,A+,A,5.63
A0177,P,B+,P,A,P,A,,O,A,6.54
A0178,B+,B+,A,A+,B+,,B+,F,A+,6.96
A0179,A+,O,O,O,A,A+,,O,O,9.5
A0180,A+,A+,B+,A,A,A+,,A+,A+,8.62
A0181,A,A,B+,A+,A,A+,,O,O,8.58
A0182,A+,A+,O,A,B+,,A+,O,O,9
A0183,A,A+,O,O,A+,,O,O,O,9.42
A0184,A,B,B,A+,B,,A+,O,O,7.92
A0185,B+,B,A,O,B+,A+,,O,O,8.23
A0186,A,B+,B+,A+,B,A,,O,O,8.08
A0187,A+,A+,A,A+,A,,A+,O,O,9
A0188,B,A,B,O,B+,A+,,O,O,8.15
A0189,A,A,A+,A+,A,O,,O,O,8.92
A0190,A+,B+,A,A+,B,O,,O,O,8.58
A0191,A+,A,P,A,C,A+,,O,O,7.85
A0192,A+,A,O,A+,A+,,A,O,O,9.08
A0193,P,B+,B,C,F,,B,A,A,5.29
A0194,A,B,O,O,B+,,B+,O,O,8.38
A0195,P,P,P,B,F,,C,A,B+,4.46
A0196,C,P,F,B+,F,A,,A,B+,4.63
A0197,A,C,P,A,B+,A,,O,B+,7.12
A0198,A,B+,B+,A+,B,A,,O,A+,8
A0199,O,A+,O,O,A+,O,,O,O,9.73
A01A0,A,B,A+,A+,A+,A+,,O,O,8.54
A01A1,O,A+,O,A+,B,O,,O,O,9.12
A01A2,B+,B+,C,A,B,,B,A,A+,6.96
A01A3,P,C,F,C,F,,C,A,A,4.08
A01A4,B,A,B,O,B+,A+,,O,O,8.15
A01A5,F,P,F,C,F,B+,,A,A+,3.58
A01A6,A+,A+,A+,O,O,O,,O,O,9.58
A01A7,O,A+,A+,A+,O,,A+,O,O,9.5
A01A8,O,O,O,O,O,,O,O,O,10
A01A9,A+,A,B+,O,A,O,,O,O,8.96
A01B0,A,P,A,B+,F,A+,,A+,A,6.92
A01B1,C,B+,P,B,F,A+,,B,A,5.85
A01B2,A,B,P,C,C,A,,A+,A,6.62
A01B3,A,A,B,A+,C,O,,O,A,8
A01B4,B+,A,C,A,P,A+,,A+,A,7.23
A01B5,C,B,P,P,P,,C,B,A,5.5
A01B7,A,B,P,A,P,,B+,B+,A,6.65
A01B8,F,P,F,C,F,B,,A+,A,3.46
A01B9,C,B+,C,A,B+,A+,,A+,A+,7.35
A01C0,A+,B+,A,A+,A,A+,,O,O,8.62
B0101,A,B+,B+,A+,C,A,,O,O,7.96
B0102,O,A+,A+,O,A+,,A,O,O,9.38
B0103,B+,B+,A+,A+,P,A+,,O,O,8.04
B0104,A,B+,A+,O,A+,A+,,O,O,8.88
B0105,O,A,A,O,A+,A+,,O,O,9.23
B0106,P,B,B,A,P,A,,O,O,6.58
B0107,O,A+,O,O,A+,A+,,O,O,9.62
B0108,B+,A+,O,O,A,A+,,O,O,9.04
B0109,O,A,A,O,A,A+,,O,O,9.12
B0110,O,C,A+,A+,B,,A+,O,O,8.42
B0111,A+,A,A+,O,A,A+,,O,O,9.08
B0112,A,C,A,A+,B,,C,O,O,7.54
B0113,O,A,A+,O,A+,O,,O,O,9.46
B0114,O,A+,A+,O,A+,A+,,O,O,9.5
B0115,O,A+,O,O,O,O,,O,O,9.85
B0116,O,A+,O,O,O,O,,O,O,9.85
B0117,B+,A,B+,A,B,A+,,O,O,8
B0118,B,B+,B,A+,A,A+,,O,O,7.92
B0119,A,A,A+,A+,A+,O,,O,O,9.04
B0120,O,A,A+,O,A+,A+,,O,O,9.27
B0121,O,A,A+,O,O,O,,O,O,9.58
B0122,A+,A,A,O,A+,A+,,O,O,9.08
B0123,O,A,A+,O,A+,O,,O,O,9.46
B0124,O,A,O,O,A+,O,,O,O,9.58
